Time,Goal_Position_0,Goal_Position_1,Present_Position_0,Present_Position_1
1746285658.4347167,3933.3261670609522,-3933.3261670609522,-21137,19249
1746285658.4668624,10078.653095973645,-10078.653095973645,-12590,11012
1746285658.4988098,16356.366237571741,-16356.366237571741,-4820,3203
1746285658.5306993,22805.74525089451,-22805.74525089451,2596,-4290
1746285658.5627902,29390.399828039786,-29390.399828039786,10054,-11518
1746285658.5947044,36061.24333537646,-36061.24333537646,17096,-18565
1746285658.62676,42802.487328261304,-42802.487328261304,24007,-25755
1746285658.6587765,49578.15494959789,-49578.15494959789,31011,-32441
1746285658.691013,56398.47497575429,-56398.47497575429,36135,-39504
1746285658.7228456,63117.08228200501,-63117.08228200501,42925,-46172
1746285658.7551289,69810.58490047818,-69810.58490047818,49796,-52979
1746285658.7870264,76421.20952309009,-76421.20952309009,56627,-59983
1746285658.8189068,82914.33890478629,-82914.33890478629,65011,-66534
1746285658.8510518,89302.63482349107,-89302.63482349107,70084,-73228
1746285658.8831925,95482.79439494583,-95482.79439494583,76956,-79863
1746285658.9148355,101417.90580486575,-101417.90580486575,83279,-86377
1746285658.9468248,107167.11492981535,-107167.11492981535,89825,-92968
1746285658.978813,112654.83808463976,-112654.83808463976,96106,-99202
1746285659.0108316,117871.50298608949,-117871.50298608949,102305,-105076
1746285659.0429032,122795.57719460159,-122795.57719460159,109686,-111095
1746285659.0748756,127369.37831695552,-127369.37831695552,113936,-116695
1746285659.1070786,131632.53898212867,-131632.53898212867,119431,-121995
1746285659.1387694,135490.70027176273,-135490.70027176273,124514,-126815
1746285659.17111,138988.96447499332,-138988.96447499332,129402,-131507
1746285659.202872,142091.47351970145,-142091.47351970145,133840,-135755
1746285659.2350106,144782.8540237559,-144782.8540237559,137867,-139751
1746285659.2667866,147053.27863344646,-147053.27863344646,141515,-143012
1746285659.2991107,148894.66137268598,-148894.66137268598,144647,-145924
1746285659.330772,150282.54241886537,-150282.54241886537,147268,-148291
1746285659.362991,151229.23198492083,-151229.23198492083,149343,-150067
1746285659.3949165,151725.0312372826,-151725.0312372826,150800,-151267
1746285659.4295805,151802.86339087557,-151802.86339087557,151624,-151716
1746285659.4587827,150099.64922933208,-150099.64922933208,151752,-151749
1746285659.4907758,144403.5774323693,-144403.5774323693,151495,-150722
1746285659.5229256,134882.79383365577,-134882.79383365577,149437,-147770
1746285659.554829,122025.23754815615,-122025.23754815615,145472,-142895
1746285659.5868802,106313.2882412449,-106313.2882412449,139896,-136521
1746285659.618695,88320.67050459576,-88320.67050459576,132289,-128061
1746285659.6509323,68788.59659557056,-68788.59659557056,123136,-118651
1746285659.6827092,48555.813541278025,-48555.813541278025,113639,-109259
1746285659.7150788,28188.074238525718,-28188.074238525718,104401,-99828
1746285659.74672,9108.277600946987,-9108.277600946987,95025,-90086
1746285659.7787094,-8482.701772753615,8482.701772753615,85658,-80911
1746285659.8108325,-23732.982209719125,23732.982209719125,76271,-71459
1746285659.8429396,-35920.817215283096,35920.817215283096,66908,-61700
1746285659.8746986,-44661.07408945945,44661.07408945945,57524,-52240
1746285659.90677,-49567.43362208144,49567.43362208144,48152,-43078
1746285659.9386728,-50582.225344057755,50582.225344057755,38443,-33311
1746285659.9707108,-50224.23749718692,50224.23749718692,29324,-24167
1746285660.003109,-49407.093895333564,49407.093895333564,19631,-14691
1746285660.03471,-48154.28278073283,48154.28278073283,10447,-5242
1746285660.0670414,-46434.061674233824,46434.061674233824,-1322,4219
1746285660.0987022,-44313.92368039071,44313.92368039071,-8442,13977
1746285660.1308317,-41739.55386554926,41739.55386554926,-17849,23007
1746285660.1626625,-38770.77400650966,38770.77400650966,-27350,30995
1746285660.1946795,-35388.912700525194,35388.912700525194,-34671,37180
1746285660.2269073,-31593.811011292426,31593.811011292426,-40451,41263
1746285660.259309,-27481.69565351125,27481.69565351125,-42790,43659
1746285660.2909262,-22988.197827922402,22988.197827922402,-44354,44153
1746285660.3235207,-18056.27064707483,18056.27064707483,-43821,42794
1746285660.354612,-13066.700859003531,13066.700859003531,-40575,39480
1746285660.3867042,-7642.884820367915,7642.884820367915,-37268,34554
1746285660.418823,-1976.3950247524322,1976.3950247524322,-31351,27378
1746285660.450929,3930.321862980357,-3930.321862980357,-23316,19241
1746285660.482956,10079.764455285482,-10079.764455285482,-14702,11020
