Time,Axis_0_Value,Axis_1_Value
1744359095.8270016,1,2
1744359095.8270574,1,2
1744359095.8271117,1,2
1744359095.8271682,1,2
1744359095.8272238,1,2
1744359095.8272805,1,2
1744359095.8273382,1,2
1744359095.8273926,1,2
1744359095.8274465,1,2
1744359095.8275042,1,2
1744359095.8275585,1,2
1744359095.827613,1,2
1744359095.8276672,1,2
1744359095.8277218,1,2
1744359095.827777,1,2
1744359095.8278315,1,2
1744359095.8278866,1,2
1744359095.8279436,1,2
1744359095.8280008,1,2
1744359095.828059,1,2
1744359095.828115,1,2
1744359095.8281698,1,2
1744359095.8282247,1,2
1744359095.8282797,1,2
1744359095.8283334,1,2
1744359095.8283894,1,2
1744359095.8284442,1,2
1744359095.8285005,1,2
1744359095.828559,1,2
1744359095.8286135,1,2
1744359095.8286684,1,2
1744359095.828723,1,2
1744359095.8287802,1,2
1744359095.828839,1,2
1744359095.8288941,1,2
1744359095.828949,1,2
1744359095.8290079,1,2
1744359095.8290646,1,2
1744359095.8291225,1,2
1744359095.8291771,1,2
1744359095.8292308,1,2
1744359095.8292847,1,2
1744359095.8293397,1,2
1744359095.8293936,1,2
1744359095.8294475,1,2
1744359095.8295043,1,2
1744359095.8295577,1,2
1744359095.829611,1,2
1744359095.8296645,1,2
1744359095.829718,1,2
1744359095.8297715,1,2
1744359095.829825,1,2
1744359095.8298786,1,2
1744359095.8299322,1,2
1744359095.8300438,1,2
1744359095.8301096,1,2
1744359095.8301642,1,2
1744359095.830221,1,2
1744359095.830319,1,2
1744359095.8303795,1,2
1744359095.830437,1,2
1744359095.8304958,1,2
1744359095.8305535,1,2
1744359095.8306105,1,2
1744359095.830667,1,2
1744359095.8307238,1,2
1744359095.8307812,1,2
1744359095.8308377,1,2
1744359095.8308923,1,2
1744359095.831012,1,2
1744359095.831075,1,2
1744359095.8311322,1,2
1744359095.8311877,1,2
1744359095.8312433,1,2
1744359095.8312984,1,2
1744359095.831353,1,2
1744359095.8314073,1,2
1744359095.8314617,1,2
1744359095.8315172,1,2
1744359095.8315713,1,2
1744359095.8316317,1,2
1744359095.8316863,1,2
1744359095.8317425,1,2
1744359095.83185,1,2
1744359095.8319063,1,2
1744359095.8319654,1,2
1744359095.8320663,1,2
1744359095.8321247,1,2
1744359095.8321807,1,2
1744359095.832235,1,2
1744359095.8322887,1,2
1744359095.8323429,1,2
1744359095.832397,1,2
1744359095.8324516,1,2
1744359095.8325064,1,2
1744359095.8325703,1,2
1744359095.8326292,1,2
1744359095.8326843,1,2
1744359095.8327386,1,2
1744359095.8327932,1,2
1744359095.8328524,1,2
1744359095.8329139,1,2
1744359095.8329697,1,2
1744359095.8330274,1,2
1744359095.8330863,1,2
1744359095.83319,1,2
1744359095.8332496,1,2
1744359095.8333056,1,2
1744359095.8333611,1,2
1744359095.833416,1,2
1744359095.8334708,1,2
1744359095.8335254,1,2
1744359095.83358,1,2
1744359095.8336344,1,2
1744359095.8337781,1,2
1744359095.8338635,1,2
1744359095.8339539,1,2
1744359095.834072,1,2
1744359095.8341343,1,2
1744359095.83419,1,2
1744359095.8342445,1,2
1744359095.8343039,1,2
1744359095.8343594,1,2
1744359095.8344142,1,2
1744359095.8344681,1,2
1744359095.834522,1,2
1744359095.834577,1,2
1744359095.8346763,1,2
1744359095.8347366,1,2
1744359095.834792,1,2
1744359095.8348525,1,2
1744359095.83491,1,2
1744359095.8349643,1,2
1744359095.835019,1,2
1744359095.835073,1,2
1744359095.8351302,1,2
1744359095.8351862,1,2
1744359095.835243,1,2
1744359095.8352976,1,2
1744359095.8353515,1,2
1744359095.8354058,1,2
1744359095.8354688,1,2
1744359095.8355262,1,2
1744359095.8355854,1,2
1744359095.8356445,1,2
1744359095.8357017,1,2
1744359095.8357584,1,2
1744359095.8358147,1,2
1744359095.8358707,1,2
1744359095.835926,1,2
1744359095.8359811,1,2
1744359095.8360362,1,2
1744359095.836091,1,2
1744359095.8361459,1,2
1744359095.8362007,1,2
1744359095.8362556,1,2
1744359095.836309,1,2
1744359095.8363636,1,2
1744359095.836419,1,2
1744359095.8364766,1,2
1744359095.8365343,1,2
1744359095.8365889,1,2
1744359095.836651,1,2
1744359095.8367052,1,2
1744359095.8367593,1,2
1744359095.8368208,1,2
1744359095.8368752,1,2
1744359095.8369296,1,2
1744359095.8369858,1,2
1744359095.8370397,1,2
1744359095.8370938,1,2
1744359095.8371477,1,2
1744359095.8372018,1,2
1744359095.837256,1,2
1744359095.8373098,1,2
1744359095.8373637,1,2
1744359095.8374174,1,2
1744359095.8374712,1,2
1744359095.837525,1,2
1744359095.8375788,1,2
1744359095.8376324,1,2
1744359095.8376868,1,2
1744359095.8377419,1,2
1744359095.8377957,1,2
1744359095.83785,1,2
1744359095.8379033,1,2
1744359095.8379571,1,2
1744359095.8380551,1,2
1744359095.8381171,1,2
1744359095.8381717,1,2
1744359095.8382258,1,2
1744359095.8382797,1,2
1744359095.8383336,1,2
1744359095.8383937,1,2
1744359095.8384478,1,2
1744359095.838502,1,2
1744359095.8385558,1,2
1744359095.83861,1,2
1744359095.8386633,1,2
1744359095.8387172,1,2
1744359095.8387709,1,2
1744359095.838825,1,2
1744359095.8388813,1,2
1744359095.838937,1,2
1744359095.8389904,1,2
1744359095.8390443,1,2
1744359095.8390985,1,2
1744359095.839152,1,2
1744359095.839206,1,2
1744359095.8392594,1,2
1744359095.8393135,1,2
1744359095.8393672,1,2
1744359095.839421,1,2
1744359095.8394744,1,2
1744359095.839528,1,2
1744359095.8395817,1,2
1744359095.8396358,1,2
1744359095.8396904,1,2
1744359095.839745,1,2
1744359095.8397985,1,2
1744359095.8398528,1,2
1744359095.839907,1,2
1744359095.8399625,1,2
1744359095.8400176,1,2
1744359095.8400722,1,2
1744359095.8401296,1,2
1744359095.840184,1,2
1744359095.8402379,1,2
1744359095.8402917,1,2
1744359095.8403459,1,2
1744359095.8404,1,2
1744359095.8404536,1,2
1744359095.8405077,1,2
1744359095.8405623,1,2
1744359095.8406177,1,2
1744359095.8406725,1,2
1744359095.8407273,1,2
1744359095.840782,1,2
1744359095.840836,1,2
1744359095.8408902,1,2
1744359095.840944,1,2
1744359095.8409977,1,2
1744359095.8410513,1,2
1744359095.8411052,1,2
1744359095.8411589,1,2
1744359095.841213,1,2
1744359095.8412666,1,2
1744359095.8413205,1,2
1744359095.841378,1,2
1744359095.8414328,1,2
1744359095.8414888,1,2
1744359095.8415434,1,2
1744359095.841597,1,2
1744359095.8416512,1,2
1744359095.8417053,1,2
1744359095.8417604,1,2
1744359095.8418157,1,2
1744359095.8418698,1,2
1744359095.8419244,1,2
1744359095.8420038,1,2
1744359095.8420734,1,2
1744359095.8421407,1,2
1744359095.842197,1,2
1744359095.8423228,1,2
1744359095.8423824,1,2
1744359095.8424373,1,2
1744359095.842492,1,2
1744359095.8425462,1,2
1744359095.8426692,1,2
1744359095.8427289,1,2
1744359095.8427827,1,2
1744359095.8428366,1,2
1744359095.8428907,1,2
1744359095.8429441,1,2
1744359095.8430157,1,2
1744359095.8430755,1,2
1744359095.843131,1,2
1744359095.8431852,1,2
1744359095.8432393,1,2
1744359095.843296,1,2
1744359095.843351,1,2
1744359095.8434048,1,2
1744359095.8434596,1,2
1744359095.8435152,1,2
1744359095.843569,1,2
1744359095.8436227,1,2
1744359095.843676,1,2
1744359095.8437319,1,2
1744359095.843787,1,2
1744359095.8438413,1,2
1744359095.8438952,1,2
1744359095.8439496,1,2
1744359095.8440037,1,2
1744359095.8440573,1,2
1744359095.844111,1,2
1744359095.8441658,1,2
1744359095.8442197,1,2
1744359095.8442733,1,2
1744359095.8443272,1,2
1744359095.8443804,1,2
1744359095.8444343,1,2
1744359095.8445015,1,2
1744359095.8445556,1,2
1744359095.844609,1,2
1744359095.8446639,1,2
1744359095.8447175,1,2
1744359095.8447711,1,2
1744359095.8448248,1,2
1744359095.8448784,1,2
1744359095.8449318,1,2
1744359095.8449855,1,2
1744359095.84504,1,2
1744359095.8450937,1,2
1744359095.8451471,1,2
1744359095.8452008,1,2
1744359095.8452547,1,2
1744359095.8453078,1,2
1744359095.8453617,1,2
1744359095.8454154,1,2
1744359095.8454702,1,2
1744359095.845524,1,2
1744359095.8455775,1,2
1744359095.845633,1,2
1744359095.8456867,1,2
1744359095.8457422,1,2
1744359095.8457975,1,2
1744359095.845852,1,2
1744359095.8459074,1,2
1744359095.8459623,1,2
1744359095.846189,1,2
1744359095.8462749,1,2
1744359095.8464684,1,2
1744359095.8465228,1,2
1744359095.8465774,1,2
1744359095.8466306,1,2
1744359095.8466842,1,2
1744359095.8467379,1,2
1744359095.8467917,1,2
1744359095.846846,1,2
1744359095.8468997,1,2
1744359095.8469536,1,2
1744359095.8470075,1,2
1744359095.8470614,1,2
1744359095.8471153,1,2
1744359095.8471684,1,2
1744359095.8472323,1,2
1744359095.8472865,1,2
1744359095.8473403,1,2
1744359095.8473938,1,2
1744359095.8474476,1,2
1744359095.8475013,1,2
1744359095.8475552,1,2
1744359095.8478155,1,2
1744359095.8478746,1,2
1744359095.847929,1,2
1744359095.8479834,1,2
1744359095.8480368,1,2
1744359095.8480902,1,2
1744359095.848144,1,2
1744359095.848201,1,2
1744359095.8482552,1,2
1744359095.8483093,1,2
1744359095.848363,1,2
1744359095.8484166,1,2
1744359095.8484697,1,2
1744359095.8485234,1,2
1744359095.8485768,1,2
1744359095.8486302,1,2
1744359095.8486843,1,2
1744359095.8487377,1,2
1744359095.8487911,1,2
1744359095.8488448,1,2
1744359095.8488991,1,2
1744359095.848953,1,2
1744359095.8490067,1,2
1744359095.849095,1,2
1744359095.8491557,1,2
1744359095.8492103,1,2
1744359095.8492644,1,2
1744359095.8493178,1,2
1744359095.849372,1,2
1744359095.8494275,1,2
1744359095.8494828,1,2
1744359095.8495378,1,2
1744359095.8495939,1,2
1744359095.8496482,1,2
1744359095.8497026,1,2
1744359095.8497574,1,2
1744359095.8498116,1,2
1744359095.8498652,1,2
1744359095.8499186,1,2
1744359095.849997,1,2
1744359095.8500578,1,2
1744359095.8501124,1,2
1744359095.8501666,1,2
1744359095.8502202,1,2
1744359095.850274,1,2
1744359095.8503277,1,2
1744359095.8503819,1,2
1744359095.8504362,1,2
1744359095.8504899,1,2
1744359095.8505435,1,2
1744359095.8505976,1,2
1744359095.8506517,1,2
1744359095.850708,1,2
1744359095.8507636,1,2
1744359095.850819,1,2
1744359095.8508732,1,2
1744359095.850928,1,2
1744359095.8509836,1,2
1744359095.8510382,1,2
1744359095.8510923,1,2
1744359095.851146,1,2
1744359095.8512025,1,2
1744359095.851258,1,2
1744359095.8513124,1,2
1744359095.8513687,1,2
1744359095.851423,1,2
1744359095.851477,1,2
1744359095.8515306,1,2
1744359095.8515842,1,2
1744359095.851638,1,2
1744359095.8516915,1,2
1744359095.8517456,1,2
1744359095.8517997,1,2
1744359095.851854,1,2
1744359095.8519082,1,2
1744359095.851962,1,2
1744359095.8520217,1,2
1744359095.8520758,1,2
1744359095.8521295,1,2
1744359095.8521833,1,2
1744359095.8522367,1,2
1744359095.8522909,1,2
1744359095.8523443,1,2
1744359095.8523977,1,2
1744359095.8524513,1,2
1744359095.8525052,1,2
1744359095.8525589,1,2
1744359095.8526125,1,2
1744359095.8526661,1,2
1744359095.8527205,1,2
1744359095.852774,1,2
1744359095.8528283,1,2
1744359095.852885,1,2
1744359095.8529387,1,2
1744359095.8529925,1,2
1744359095.8530464,1,2
1744359095.8531003,1,2
1744359095.8531547,1,2
1744359095.853209,1,2
1744359095.853264,1,2
1744359095.853318,1,2
1744359095.8533719,1,2
1744359095.853426,1,2
1744359095.8534794,1,2
1744359095.8535335,1,2
1744359095.853589,1,2
1744359095.8536427,1,2
1744359095.853697,1,2
1744359095.8537538,1,2
1744359095.853808,1,2
1744359095.8538613,1,2
1744359095.8539157,1,2
1744359095.8539846,1,2
1744359095.854046,1,2
1744359095.854101,1,2
1744359095.854155,1,2
1744359095.8542094,1,2
1744359095.8542645,1,2
1744359095.8543193,1,2
1744359095.8543742,1,2
1744359095.8544304,1,2
1744359095.8544858,1,2
1744359095.8545408,1,2
1744359095.8545966,1,2
1744359095.8546517,1,2
1744359095.8547091,1,2
1744359095.8547676,1,2
1744359095.854823,1,2
1744359095.8548825,1,2
1744359095.8549368,1,2
1744359095.8550506,1,2
1744359095.8551178,1,2
1744359095.8551757,1,2
1744359095.85523,1,2
1744359095.8553078,1,2
1744359095.8553662,1,2
1744359095.855421,1,2
1744359095.855475,1,2
1744359095.8555305,1,2
1744359095.855584,1,2
1744359095.855638,1,2
1744359095.8556921,1,2
1744359095.8557482,1,2
1744359095.855805,1,2
1744359095.8558614,1,2
1744359095.855919,1,2
1744359095.8559752,1,2
1744359095.856031,1,2
1744359095.8562427,1,2
1744359095.856299,1,2
1744359095.856357,1,2
1744359095.856415,1,2
1744359095.856471,1,2
1744359095.856527,1,2
1744359095.856638,1,2
1744359095.856702,1,2
1744359095.8568022,1,2
1744359095.8568614,1,2
1744359095.8569188,1,2
1744359095.8569744,1,2
1744359095.857063,1,2
1744359095.8571198,1,2
1744359095.857175,1,2
1744359095.8572297,1,2
1744359095.8572848,1,2
1744359095.8573437,1,2
1744359095.8574002,1,2
1744359095.8574538,1,2
1744359095.8575099,1,2
1744359095.8575685,1,2
1744359095.8576243,1,2
1744359095.8576787,1,2
1744359095.8577435,1,2
1744359095.8577979,1,2
1744359095.8578517,1,2
1744359095.857906,1,2
1744359095.8579597,1,2
1744359095.8580606,1,2
1744359095.858117,1,2
1744359095.8581712,1,2
1744359095.8582249,1,2
1744359095.8582788,1,2
1744359095.8583324,1,2
1744359095.8583858,1,2
1744359095.8584397,1,2
1744359095.858494,1,2
1744359095.8585474,1,2
1744359095.8586013,1,2
1744359095.8586547,1,2
1744359095.8587084,1,2
1744359095.8587632,1,2
1744359095.8588169,1,2
1744359095.8588705,1,2
1744359095.8589242,1,2
1744359095.8589778,1,2
1744359095.8590314,1,2
1744359095.859085,1,2
1744359095.8591385,1,2
1744359095.859193,1,2
1744359095.8592472,1,2
1744359095.8593047,1,2
1744359095.8593588,1,2
1744359095.8594131,1,2
1744359095.8594673,1,2
1744359095.859521,1,2
1744359095.8595746,1,2
1744359095.8596284,1,2
1744359095.8596823,1,2
1744359095.8597374,1,2
1744359095.859791,1,2
1744359095.8598444,1,2
1744359095.859898,1,2
1744359095.8599517,1,2
1744359095.8600054,1,2
1744359095.8600597,1,2
